State,City,Location,location_key
Haryana,Gurgaon,SECTOR-109,652
Haryana,Gurgaon,Maitra Complex,653
Haryana,Gurgaon,Palam Vihar,654
Haryana,Gurgaon,CONSCIENT ONE,655
Haryana,Gurgaon,Sector 99,656
Haryana,Gurgaon,Sector 37,657
Haryana,Gurgaon,Near Goga Mandir,658
Haryana,Gurgaon,Sector 4,659
Haryana,Gurgaon,Old Railway Road,660
Haryana,Gurgaon,Sohna Road,661
Haryana,Gurgaon,Sec-4 (Huda),662
Haryana,Gurgaon,Sector 5,663
Haryana,Gurgaon,Old Gurgaon (Zone 6),664
Haryana,Gurgaon,"Sector 37,Gurgaon",665
Haryana,Gurgaon,MG Road,666
Haryana,Gurgaon,Vasant Kunj,667
Haryana,Gurgaon,Vasanth Kunj,668
Haryana,Gurgaon,Chattarpur,669
Haryana,Gurgaon,Malviya Nagar,670
Haryana,Gurgaon,VASANT VIHAR,671
Haryana,Gurgaon,Mehrauli,672
Haryana,Gurgaon,Chhatarpur,673
Haryana,Gurgaon,CHHATTARPUR,674
Haryana,Gurgaon,Green Park,675
Haryana,Gurgaon,Lado Sarai,676
Kerala,Kochi,Vazakala,677
Kerala,Kochi,Edappally,678
Kerala,Kochi,Kakkanad,679
Kerala,Kochi,Ernakulam,680
Kerala,Kochi,EDAPPALLY.P.O,681
Kerala,Kochi,Thrikkakara,682
Kerala,Kochi,Palarivattom,683
Kerala,Kochi,Vyttila,684
Kerala,Kochi,Kacheripadi,685
Kerala,Kochi,Elamkulam,686
Kerala,Kochi,Central Square Mall,687
Kerala,Kochi,Kaloor,688
Kerala,Kochi,Kadavanthra,689
Kerala,Kochi,Kolenchery,690
Kerala,Kochi,Piravom,691
Kerala,Kochi,Kochi,692
Kerala,Kochi,Kacheripady,693
Kerala,Kochi,MGÂ Road,694
Kerala,Kochi,Lulu Mall,695
Kerala,Kochi,MG Road,696
Kerala,Kochi,Lulu Kochi,697
Kerala,Kochi,Pallimukku,698
Kerala,Kochi,Ravipuram,699
Kerala,Kochi,Pachalam Junction,700
Kerala,Kochi,Marad,701
Kerala,Kochi,Kundanoor Maradu,702
Kerala,Kochi,Maradu,703
